id,length,hashtag_count,mention-count,likes-count,retweet-count,sentiment,created_at
950268117652881409,128,0,0,2214,159,0.055803571428571425,7
950267611601780736,28,0,0,1099,73,0.35,7
950263623452012545,140,0,0,5847,695,0.0,7
950225683321520130,50,0,0,2039,195,0.0,4
950225091232546818,140,0,0,2843,226,0.286328125,4
950216953909489664,20,0,1,80,8,0.5,4
950216922187968512,31,0,1,31,5,0.2,4
950215831400546304,140,0,2,0,59,0.65,4
950215494958645248,30,0,2,15,6,0.5,4
950215199960662017,70,0,3,20,11,0.0,3
950215097145634816,34,0,2,14,4,0.5,3
950215038286970880,76,0,0,1407,123,0.5,3
950214629271126016,105,0,7,17,9,0.5,3
950214515978727424,43,0,1,79,12,0.0,3
950214398236217344,28,0,2,12,3,0.0,3
950214315583332353,83,0,2,21,5,0.2,3
950214065959268352,38,0,2,14,6,0.0,3
950214010242125824,28,0,2,15,4,0.5,3
950213962510958592,16,0,1,25,4,0.5,3
950213845938708480,27,0,2,24,6,0.0,3
950213808735141889,17,0,1,21,4,0.5,3
950213744029659137,132,0,8,54,14,0.0,3
950213611896492033,16,0,1,25,2,0.0,3
950213548105322496,18,0,1,19,3,0.6,3
950213476080742400,85,0,1,81,11,0.41666666666666663,3
950094671430041600,31,0,1,10,3,0.0,19
950081093406834688,116,0,0,10553,647,0.0,19
950080277598027776,28,0,0,938,95,0.5,19
950076750666416129,140,0,0,2974,236,0.0546875,18
950076002113220608,30,0,0,1166,74,0.5,18
950075775494991873,140,0,0,4118,300,0.175,18
950075363303948293,140,0,0,2038,170,0.6000000000000001,18
950074694182453249,55,0,0,1191,92,0.0,18
950074266338258944,90,0,1,0,1552,-0.6999999999999998,18
950074063661146112,33,0,0,1318,105,0.55,18
950064399103832064,126,0,0,2888,258,0.06818181818181818,17
949700744994725888,139,0,0,20926,1156,0.875,17
949695172387913733,32,0,0,3328,219,0.2,17
949373226559262720,140,1,2,4518,291,0.0,20
949368649696997376,129,0,1,1142,169,0.0,19
949356544184926208,139,0,0,20578,1518,0.0,19
949352130795618304,31,0,0,1958,141,0.6000000000000001,18
949343674059534336,51,0,0,2699,165,0.375,18
949342998747205632,23,0,1,18,5,0.35,18
949128716361199616,87,0,0,2121,183,0.5,4
949127255090913280,138,0,0,14096,1351,0.0,3
949125955305422848,98,0,0,3488,247,0.5,3
949125638283173889,79,0,0,2045,159,0.0,3
948997074103631872,69,0,0,2051,137,0.9765625,19
948994552626491392,139,0,0,5057,346,0.0,19
948848942564782081,32,0,0,5616,524,0.2,9
948617998000054272,34,0,0,2046,145,0.0,18
948616325299019776,34,0,2,36,12,0.0,18
948616056075034624,54,0,2,27,11,0.5,18
948615946075226112,39,0,0,1855,142,0.2,18
948615495841865728,18,0,1,20,4,0.0,18
948615431312498688,35,0,1,102,17,0.0,18
948615329361481728,140,0,2,0,86,0.5,18
948614896433872901,48,1,1,0,399,0.0,17
948614435752484864,140,0,0,11529,838,0.0,17
948613618660130816,15,0,1,122,14,0.0,17
948613517296377856,24,0,1,25,5,0.0,17
948611410421891072,64,0,0,3170,300,0.0,17
948609572876435457,128,0,7,44,22,0.0,17
948609383407042560,33,0,0,2788,138,0.0,17
948609073099948032,31,0,0,1985,144,0.0,17
948608971463520256,130,0,7,31,16,0.0,17
948608890463125506,109,0,7,91,16,0.5,17
948608590884978688,21,0,1,35,7,0.0,17
948608489726726144,24,0,1,49,11,0.0,17
948608438732447744,128,0,7,26,10,0.0,17
948608305798107136,33,0,2,27,4,0.0,17
948608217336102912,137,0,8,41,22,0.0,17
948608181764218880,137,0,8,46,25,0.0,17
948608052005027840,48,0,0,1630,118,0.8,17
948607950624456705,21,0,1,36,3,0.0,17
948607878474088448,29,0,1,42,6,0.85,17
948607828658331648,29,0,2,19,6,0.0,17
948607787205980160,135,0,8,42,19,0.0,17
948607273370140672,18,0,1,49,5,0.0,17
948607236707774464,22,0,1,69,9,0.0,17
948607192956940288,19,0,1,45,8,0.0,17
948607154432323584,139,0,1,0,329,0.0,17
948607121775517696,140,0,2,0,129,0.1,17
948606947657367552,30,0,1,75,8,0.85,17
948298826779000832,139,0,0,11267,684,0.0,21
948285916186951680,139,0,0,3665,265,0.0,20
948277139308072960,140,0,2,0,76,0.0,19
947892728695623681,140,0,0,21411,1011,0.0,18
947707880714539008,134,0,0,61066,3515,0.24962121212121213,5
947705688540581888,56,0,0,5447,340,0.0,5
947555836590616576,120,0,0,8629,496,0.5681818181818181,19
947532680995807232,79,0,0,23361,1780,0.0,18
947357774106599424,81,0,0,5988,672,0.0,6
947357562319630337,136,0,0,2335,204,0.31666666666666665,6
947355610659598336,28,0,0,3255,294,0.0,6
947355428253450240,46,0,1,316,25,0.0,6
947346711621414912,139,0,0,49927,7244,-0.1,6
947340031747801088,140,0,1,0,564,0.0,5
947339767926071297,87,0,1,0,1288,0.15625,5
